ranking,ranking_chg,name_zh,name_en,valuation,key_person,headquarter,industry,investors
99,7↓,微贷网,Weidai,70,姚宏,杭州,互联网金融,中信建投、汉鼎股份、盛大资本
99,31↑,微盟,Weimob,70,孙涛勇,上海,互联网服务,华映资本、海航资本、上海自贸区基金
99,5↑,我买网,Womai,70,张东风,北京,电子商务,IDG、赛富基金、百度
99,31↑,小猪短租,xiaozhu,70,陈驰,北京,房产服务,愉悦资本、贝塔斯曼、君联资本、晨兴资本
99,New,亚洲医疗,Asia Medical,70,谢俊明,武汉,医疗健康,红杉资本、泛大西洋
99,5↑,洋码头,yMatou,70,曾碧波,上海,电子商务,远镜创投、赛富基金、上海国际
99,5↑,要出发,Yaochufa,70,丁根芳,广州,互联网服务,众信旅游、红杉资本
99,31↑,一点资讯,Yidianzixun,70,李亚,北京,文化娱乐,凤凰、小米、IDG
99,31↑,一起作业,17zuoye,70,刘畅,上海,教育,真格基金、顺为资本、老虎基金
99,7↓,易生金服,Easy Life,70,刘江涛,北京,互联网金融,海航旅游、H-capital
99,New,影谱科技,Moviebook,70,姬晓晨,北京,人工智能,商汤科技、软银中国、曜为资本
99,31↑,优刻得,UCloud,70,季昕华,上海,大数据与云计算,DCM、贝塔斯曼、君联资本
99,31↑,有利网,Yooli,70,吴逸然,北京,互联网金融,高瓴资本、晨兴资本、软银中国
99,31↑,猿辅导,Yuanfudao,70,李勇,北京,教育,IDG、经纬中国、腾讯
99,7↓,悦畅科技,ETCP,70,谭龙,北京,汽车交通,万达、经纬中国、SIG
99,31↑,越海全球,YH Global,70,张泉,深圳,物流服务,涌铧投资、汇能金融、磐石资本
99,31↑,云鸟科技,Yunniao,70,韩毅,北京,物流服务,华平投资、红杉资本、经纬中国
99,5↑,云知声,Unisound,70,梁家恩,北京,大数据与云计算,启明创投、高通
99,31↑,执御信息,Jollycorp,70,李海燕,杭州,电子商务,红杉资本、君联资本、鼎晖投资
99,31↑,智米科技,Smartmi,70,苏峻,北京,智能硬件,顺为资本、GIC
99,31↑,转转,Zhuanzhuan,70,姚劲波,北京,互联网服务,腾讯
